,zipcode,change
0,30349,98000.0
1,30044,100400.0
2,30043,100800.0
3,30096,103700.0
4,30024,166700.0
5,30281,76500.0
6,30040,148000.0
7,30188,111600.0
8,30080,178000.0
9,30062,178700.0
10,30052,90300.0
11,30041,185700.0
12,30331,99800.0
13,30022,202100.0
14,30127,89500.0
15,30004,231900.0
16,30135,77600.0
17,30253,84700.0
18,30066,128300.0
19,30263,88500.0
20,30058,86100.0
21,30047,91300.0
22,30101,94200.0
23,30067,196600.0
24,30075,230000.0
25,30144,91900.0
26,30319,373300.0
27,30114,145700.0
28,30016,73400.0
29,30064,139800.0
30,30309,600300.0
31,30518,117900.0
32,30076,197700.0
33,30034,91100.0
34,30097,194300.0
35,30324,356300.0
36,30339,265800.0
37,30350,241300.0
38,30328,267400.0
39,30519,106000.0
40,30039,87500.0
41,30680,83900.0
42,30126,95400.0
43,30228,82200.0
44,30019,109200.0
45,30115,157900.0
46,30038,87200.0
47,30316,210200.0
48,30084,115700.0
49,30305,601000.0
50,30152,123400.0
51,30102,90300.0
52,30252,122900.0
53,30338,270700.0
54,30213,91400.0
55,30294,90900.0
56,30092,179100.0
57,30180,76500.0
58,30189,111800.0
59,30033,219400.0
60,30087,84800.0
61,30046,98700.0
62,30238,90200.0
63,30014,72200.0
64,30329,277700.0
65,30341,252600.0
66,30342,473000.0
67,30060,83600.0
68,30030,425900.0
69,30068,248300.0
70,30308,460600.0
71,30005,220200.0
72,30265,119500.0
73,30078,91100.0
74,30215,123700.0
75,30214,93600.0
76,30306,563900.0
77,30045,94000.0
78,30094,75300.0
79,30082,149200.0
80,30013,79900.0
81,30534,132500.0
82,30008,84400.0
83,30345,266700.0
84,30296,98200.0
85,30224,53800.0
86,30143,130900.0
87,30655,78300.0
88,30028,139800.0
89,30122,80600.0
90,30327,657700.0
91,30260,88700.0
92,30248,83500.0
93,30307,428200.0
94,30291,92700.0
95,30233,73700.0
96,30106,77800.0
97,30017,98200.0
98,30009,213800.0
99,30277,122600.0
100,30317,339800.0
101,30276,141300.0
102,30360,184800.0
103,30011,78300.0
104,30656,94000.0
105,30107,153100.0
106,30110,55200.0
107,30650,122100.0
108,30326,356300.0
109,30620,79300.0
110,30054,88000.0
111,30268,77900.0
112,30025,103300.0
113,30666,96900.0
114,30187,98800.0
115,30290,152300.0
116,30002,258700.0
117,30176,49100.0
118,30183,149000.0
119,30113,60000.0
120,30363,300900.0
121,30220,72500.0
122,30185,90000.0
123,30259,104700.0
124,30205,204500.0
125,30663,118200.0
126,30625,192600.0
127,30234,55100.0
128,30216,54000.0
129,30641,151400.0
130,30120,94500.0
131,30121,92000.0
132,30103,110700.0
133,30145,88800.0
134,30184,90500.0
135,30178,92200.0
136,30117,62800.0
137,30116,67400.0
138,30179,73400.0
139,30108,59000.0
140,30182,55300.0
141,30292,58000.0
142,30295,48800.0
143,30257,77400.0
144,30206,53500.0
145,30256,44600.0
146,30204,33100.0
147,30269,88900.0
148,30032,93300.0
149,30168,64700.0
150,30079,82000.0
151,30288,51300.0
